date,total,negative,positive
Ноябрь 2020-day-13,74,48,26
Ноябрь 2020-day-14,65,38,27
Ноябрь 2020-day-15,22,16,6
Ноябрь 2020-day-16,65,41,24
Ноябрь 2020-day-17,63,36,27
Ноябрь 2020-day-18,59,36,23
Ноябрь 2020-day-19,63,32,31
Ноябрь 2020-day-20,108,50,58
Ноябрь 2020-day-21,42,27,15
Ноябрь 2020-day-22,90,57,33
Ноябрь 2020-day-23,30,17,13
Ноябрь 2020-day-24,60,32,28
Ноябрь 2020-day-25,99,64,35
Ноябрь 2020-day-26,74,47,27
Ноябрь 2020-day-27,82,43,39
Ноябрь 2020-day-28,71,31,40
Ноябрь 2020-day-29,93,57,36
Ноябрь 2020-day-30,46,26,20
Декабрь 2020-day-01,58,32,26
Декабрь 2020-day-02,73,28,45
Декабрь 2020-day-03,55,23,32
Декабрь 2020-day-04,52,32,20
Декабрь 2020-day-05,45,25,20
Декабрь 2020-day-06,54,28,26
Декабрь 2020-day-07,88,38,50
Декабрь 2020-day-08,60,29,31
Декабрь 2020-day-09,53,32,21
Декабрь 2020-day-10,60,28,32
Декабрь 2020-day-11,87,46,41
Декабрь 2020-day-12,66,29,37
Декабрь 2020-day-13,83,46,37
Декабрь 2020-day-14,65,33,32
Декабрь 2020-day-15,68,33,35
Декабрь 2020-day-16,94,60,34
Декабрь 2020-day-17,111,48,63
Декабрь 2020-day-18,81,40,41
Декабрь 2020-day-19,79,44,35
Декабрь 2020-day-20,71,41,30
Декабрь 2020-day-21,73,34,39
Декабрь 2020-day-22,55,32,23
Декабрь 2020-day-23,121,61,60
Декабрь 2020-day-24,76,36,40
Декабрь 2020-day-25,76,37,39
Декабрь 2020-day-26,72,42,30
Декабрь 2020-day-27,93,41,52
Декабрь 2020-day-28,40,14,26
Декабрь 2020-day-29,88,42,46
Декабрь 2020-day-30,93,57,36
Декабрь 2020-day-31,48,29,19
Январь 2021-day-03,29,13,16
Январь 2021-day-04,41,20,21
Январь 2021-day-05,63,34,29
Январь 2021-day-06,68,35,33
Январь 2021-day-07,50,20,30
Январь 2021-day-08,52,30,22
Январь 2021-day-09,77,40,37
Январь 2021-day-10,15,3,12
Январь 2021-day-11,80,38,42
Январь 2021-day-12,73,34,39
Январь 2021-day-13,80,32,48
Январь 2021-day-14,67,20,47
Январь 2021-day-15,102,51,51
Январь 2021-day-16,1,1,0
Январь 2021-day-17,122,56,66
Январь 2021-day-18,86,35,51
Январь 2021-day-19,106,54,52
Январь 2021-day-20,101,41,60
Январь 2021-day-21,48,21,27
Январь 2021-day-22,46,20,26
