Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2020-07-16,0,0,1,5,1,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0
2020-07-17,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-07-18,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-07-19,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-20,0,0,1,7,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2020-07-21,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2020-07-22,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-24,0,1,0,15,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
2020-07-25,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-07-26,0,1,0,10,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2020-07-27,0,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29,3,1,0,14,5,1,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0
2020-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,2,1,22,5,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
2020-08-01,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2020-08-02,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2020-08-03,2,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-04,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
